"","año","mes","fecha","ciudad","temperatura"
"1544",2008,"MAY","2008/5/1","Bucaramanga",21.1
"1545",2009,"MAY","2009/5/1","Bucaramanga",21.6
"1546",2010,"MAY","2010/5/1","Bucaramanga",22.3
"1547",2011,"MAY","2011/5/1","Bucaramanga",21.3
"1548",2012,"MAY","2012/5/1","Bucaramanga",21.7
"1549",2013,"MAY","2013/5/1","Bucaramanga",21.4
"1550",2014,"MAY","2014/5/1","Bucaramanga",21.8
"1551",2015,"MAY","2015/5/1","Bucaramanga",NA
"1552",1977,"JUN","1977/6/1","Bucaramanga",21.1
"1553",1978,"JUN","1978/6/1","Bucaramanga",20.8
"1554",1979,"JUN","1979/6/1","Bucaramanga",21.1
"1555",1980,"JUN","1980/6/1","Bucaramanga",22
"1556",1981,"JUN","1981/6/1","Bucaramanga",21.2
"1557",1982,"JUN","1982/6/1","Bucaramanga",21.7
"1558",1983,"JUN","1983/6/1","Bucaramanga",22.3
"1559",1984,"JUN","1984/6/1","Bucaramanga",21
"1560",1985,"JUN","1985/6/1","Bucaramanga",21.5
"1561",1986,"JUN","1986/6/1","Bucaramanga",21.3
"1562",1987,"JUN","1987/6/1","Bucaramanga",22.2
"1563",1988,"JUN","1988/6/1","Bucaramanga",21.1
"1564",1989,"JUN","1989/6/1","Bucaramanga",21.1
"1565",1990,"JUN","1990/6/1","Bucaramanga",22.2
"1566",1991,"JUN","1991/6/1","Bucaramanga",22.1
"1567",1992,"JUN","1992/6/1","Bucaramanga",22.1
"1568",1993,"JUN","1993/6/1","Bucaramanga",NA
"1569",1994,"JUN","1994/6/1","Bucaramanga",21.9
"1570",1995,"JUN","1995/6/1","Bucaramanga",21.8
"1571",1996,"JUN","1996/6/1","Bucaramanga",21.4
"1572",1997,"JUN","1997/6/1","Bucaramanga",21.7
"1573",1998,"JUN","1998/6/1","Bucaramanga",21.8
"1574",1999,"JUN","1999/6/1","Bucaramanga",20.9
"1575",2000,"JUN","2000/6/1","Bucaramanga",21.3
"1576",2001,"JUN","2001/6/1","Bucaramanga",NA
"1577",2002,"JUN","2002/6/1","Bucaramanga",21.8
"1578",2003,"JUN","2003/6/1","Bucaramanga",21.5
"1579",2004,"JUN","2004/6/1","Bucaramanga",22.2
"1580",2005,"JUN","2005/6/1","Bucaramanga",21.9
"1581",2006,"JUN","2006/6/1","Bucaramanga",21.6
"1582",2007,"JUN","2007/6/1","Bucaramanga",21.6
"1583",2008,"JUN","2008/6/1","Bucaramanga",21.4
"1584",2009,"JUN","2009/6/1","Bucaramanga",21.7
"1585",2010,"JUN","2010/6/1","Bucaramanga",21.6
"1586",2011,"JUN","2011/6/1","Bucaramanga",21.6
"1587",2012,"JUN","2012/6/1","Bucaramanga",21.9
"1588",2013,"JUN","2013/6/1","Bucaramanga",21.9
"1589",2014,"JUN","2014/6/1","Bucaramanga",22.4
"1590",2015,"JUN","2015/6/1","Bucaramanga",NA
"1591",1977,"JUL","1977/7/1","Bucaramanga",21.6
"1592",1978,"JUL","1978/7/1","Bucaramanga",NA
"1593",1979,"JUL","1979/7/1","Bucaramanga",21.4
"1594",1980,"JUL","1980/7/1","Bucaramanga",21.7
"1595",1981,"JUL","1981/7/1","Bucaramanga",21.2
"1596",1982,"JUL","1982/7/1","Bucaramanga",21.7
"1597",1983,"JUL","1983/7/1","Bucaramanga",21.9
"1598",1984,"JUL","1984/7/1","Bucaramanga",20.7
"1599",1985,"JUL","1985/7/1","Bucaramanga",21.2
"1600",1986,"JUL","1986/7/1","Bucaramanga",21.8
"1601",1987,"JUL","1987/7/1","Bucaramanga",21.8
"1602",1988,"JUL","1988/7/1","Bucaramanga",21
"1603",1989,"JUL","1989/7/1","Bucaramanga",21.3
"1604",1990,"JUL","1990/7/1","Bucaramanga",21.5
"1605",1991,"JUL","1991/7/1","Bucaramanga",NA
"1606",1992,"JUL","1992/7/1","Bucaramanga",21.9
"1607",1993,"JUL","1993/7/1","Bucaramanga",21.1
"1608",1994,"JUL","1994/7/1","Bucaramanga",21.9
"1609",1995,"JUL","1995/7/1","Bucaramanga",21.4
"1610",1996,"JUL","1996/7/1","Bucaramanga",21.1
"1611",1997,"JUL","1997/7/1","Bucaramanga",22.7
"1612",1998,"JUL","1998/7/1","Bucaramanga",21.6
"1613",1999,"JUL","1999/7/1","Bucaramanga",21.2
"1614",2000,"JUL","2000/7/1","Bucaramanga",21.2
"1615",2001,"JUL","2001/7/1","Bucaramanga",NA
"1616",2002,"JUL","2002/7/1","Bucaramanga",22.3
"1617",2003,"JUL","2003/7/1","Bucaramanga",21.7
"1618",2004,"JUL","2004/7/1","Bucaramanga",21.4
"1619",2005,"JUL","2005/7/1","Bucaramanga",22.2
"1620",2006,"JUL","2006/7/1","Bucaramanga",21.9
"1621",2007,"JUL","2007/7/1","Bucaramanga",22
"1622",2008,"JUL","2008/7/1","Bucaramanga",21.1
"1623",2009,"JUL","2009/7/1","Bucaramanga",22
"1624",2010,"JUL","2010/7/1","Bucaramanga",21.1
"1625",2011,"JUL","2011/7/1","Bucaramanga",21.4
"1626",2012,"JUL","2012/7/1","Bucaramanga",NA
"1627",2013,"JUL","2013/7/1","Bucaramanga",22
"1628",2014,"JUL","2014/7/1","Bucaramanga",23
"1629",2015,"JUL","2015/7/1","Bucaramanga",NA
"1630",1977,"AUG","1977/8/1","Bucaramanga",21.7
"1631",1978,"AUG","1978/8/1","Bucaramanga",21.5
"1632",1979,"AUG","1979/8/1","Bucaramanga",21.4
"1633",1980,"AUG","1980/8/1","Bucaramanga",21.5
"1634",1981,"AUG","1981/8/1","Bucaramanga",21.3
"1635",1982,"AUG","1982/8/1","Bucaramanga",22.2
"1636",1983,"AUG","1983/8/1","Bucaramanga",21.9
"1637",1984,"AUG","1984/8/1","Bucaramanga",20.9
"1638",1985,"AUG","1985/8/1","Bucaramanga",20.9
"1639",1986,"AUG","1986/8/1","Bucaramanga",21.8
"1640",1987,"AUG","1987/8/1","Bucaramanga",20.9
"1641",1988,"AUG","1988/8/1","Bucaramanga",20.6
"1642",1989,"AUG","1989/8/1","Bucaramanga",21.3
"1643",1990,"AUG","1990/8/1","Bucaramanga",21.5
"1644",1991,"AUG","1991/8/1","Bucaramanga",21.8
"1645",1992,"AUG","1992/8/1","Bucaramanga",21.8
"1646",1993,"AUG","1993/8/1","Bucaramanga",NA
"1647",1994,"AUG","1994/8/1","Bucaramanga",21.6
"1648",1995,"AUG","1995/8/1","Bucaramanga",21.2
"1649",1996,"AUG","1996/8/1","Bucaramanga",21.6
"1650",1997,"AUG","1997/8/1","Bucaramanga",22.7
"1651",1998,"AUG","1998/8/1","Bucaramanga",21.7
"1652",1999,"AUG","1999/8/1","Bucaramanga",21
"1653",2000,"AUG","2000/8/1","Bucaramanga",21.6
"1654",2001,"AUG","2001/8/1","Bucaramanga",NA
"1655",2002,"AUG","2002/8/1","Bucaramanga",22.6
"1656",2003,"AUG","2003/8/1","Bucaramanga",22
"1657",2004,"AUG","2004/8/1","Bucaramanga",22.3
"1658",2005,"AUG","2005/8/1","Bucaramanga",21.9
"1659",2006,"AUG","2006/8/1","Bucaramanga",22.2
"1660",2007,"AUG","2007/8/1","Bucaramanga",21.2
"1661",2008,"AUG","2008/8/1","Bucaramanga",21
"1662",2009,"AUG","2009/8/1","Bucaramanga",22
"1663",2010,"AUG","2010/8/1","Bucaramanga",21.4
"1664",2011,"AUG","2011/8/1","Bucaramanga",21.8
"1665",2012,"AUG","2012/8/1","Bucaramanga",NA
"1666",2013,"AUG","2013/8/1","Bucaramanga",21.7
"1667",2014,"AUG","2014/8/1","Bucaramanga",21.8
"1668",2015,"AUG","2015/8/1","Bucaramanga",NA
"1669",1977,"SEP","1977/9/1","Bucaramanga",21.3
"1670",1978,"SEP","1978/9/1","Bucaramanga",21
"1671",1979,"SEP","1979/9/1","Bucaramanga",21.1
"1672",1980,"SEP","1980/9/1","Bucaramanga",21.7
"1673",1981,"SEP","1981/9/1","Bucaramanga",21.4
"1674",1982,"SEP","1982/9/1","Bucaramanga",21.5
"1675",1983,"SEP","1983/9/1","Bucaramanga",21.6
"1676",1984,"SEP","1984/9/1","Bucaramanga",20.5
"1677",1985,"SEP","1985/9/1","Bucaramanga",21.1
"1678",1986,"SEP","1986/9/1","Bucaramanga",21.6
"1679",1987,"SEP","1987/9/1","Bucaramanga",21.7
"1680",1988,"SEP","1988/9/1","Bucaramanga",20.9
"1681",1989,"SEP","1989/9/1","Bucaramanga",21.1
"1682",1990,"SEP","1990/9/1","Bucaramanga",21.7
"1683",1991,"SEP","1991/9/1","Bucaramanga",21.8
"1684",1992,"SEP","1992/9/1","Bucaramanga",21.6
"1685",1993,"SEP","1993/9/1","Bucaramanga",21.3
"1686",1994,"SEP","1994/9/1","Bucaramanga",21.5
"1687",1995,"SEP","1995/9/1","Bucaramanga",22
"1688",1996,"SEP","1996/9/1","Bucaramanga",21.4
"1689",1997,"SEP","1997/9/1","Bucaramanga",22.2
"1690",1998,"SEP","1998/9/1","Bucaramanga",21.5
"1691",1999,"SEP","1999/9/1","Bucaramanga",20.5
"1692",2000,"SEP","2000/9/1","Bucaramanga",20.7
"1693",2001,"SEP","2001/9/1","Bucaramanga",NA
"1694",2002,"SEP","2002/9/1","Bucaramanga",22
"1695",2003,"SEP","2003/9/1","Bucaramanga",21.6
"1696",2004,"SEP","2004/9/1","Bucaramanga",21.5
"1697",2005,"SEP","2005/9/1","Bucaramanga",NA
"1698",2006,"SEP","2006/9/1","Bucaramanga",22
"1699",2007,"SEP","2007/9/1","Bucaramanga",21.7
"1700",2008,"SEP","2008/9/1","Bucaramanga",21.6
"1701",2009,"SEP","2009/9/1","Bucaramanga",22.8
"1702",2010,"SEP","2010/9/1","Bucaramanga",NA
"1703",2011,"SEP","2011/9/1","Bucaramanga",21.5
"1704",2012,"SEP","2012/9/1","Bucaramanga",22.1
"1705",2013,"SEP","2013/9/1","Bucaramanga",21.8
"1706",2014,"SEP","2014/9/1","Bucaramanga",21.9
"1707",2015,"SEP","2015/9/1","Bucaramanga",NA
"1708",1977,"OCT","1977/10/1","Bucaramanga",21.1
"1709",1978,"OCT","1978/10/1","Bucaramanga",20.7
"1710",1979,"OCT","1979/10/1","Bucaramanga",21
"1711",1980,"OCT","1980/10/1","Bucaramanga",21.1
"1712",1981,"OCT","1981/10/1","Bucaramanga",20.7
"1713",1982,"OCT","1982/10/1","Bucaramanga",20.8
"1714",1983,"OCT","1983/10/1","Bucaramanga",21
"1715",1984,"OCT","1984/10/1","Bucaramanga",20.6
"1716",1985,"OCT","1985/10/1","Bucaramanga",20.7
"1717",1986,"OCT","1986/10/1","Bucaramanga",19.3
"1718",1987,"OCT","1987/10/1","Bucaramanga",20.8
"1719",1988,"OCT","1988/10/1","Bucaramanga",20.7
"1720",1989,"OCT","1989/10/1","Bucaramanga",21
"1721",1990,"OCT","1990/10/1","Bucaramanga",20.9
"1722",1991,"OCT","1991/10/1","Bucaramanga",21
"1723",1992,"OCT","1992/10/1","Bucaramanga",22.2
"1724",1993,"OCT","1993/10/1","Bucaramanga",21.7
"1725",1994,"OCT","1994/10/1","Bucaramanga",21.4
"1726",1995,"OCT","1995/10/1","Bucaramanga",21.1
"1727",1996,"OCT","1996/10/1","Bucaramanga",20.9
"1728",1997,"OCT","1997/10/1","Bucaramanga",22.2
"1729",1998,"OCT","1998/10/1","Bucaramanga",NA
"1730",1999,"OCT","1999/10/1","Bucaramanga",20.6
"1731",2000,"OCT","2000/10/1","Bucaramanga",21.2
"1732",2001,"OCT","2001/10/1","Bucaramanga",NA
"1733",2002,"OCT","2002/10/1","Bucaramanga",21.8
"1734",2003,"OCT","2003/10/1","Bucaramanga",21.2
"1735",2004,"OCT","2004/10/1","Bucaramanga",NA
"1736",2005,"OCT","2005/10/1","Bucaramanga",21.1
"1737",2006,"OCT","2006/10/1","Bucaramanga",21.6
"1738",2007,"OCT","2007/10/1","Bucaramanga",20.7
"1739",2008,"OCT","2008/10/1","Bucaramanga",21.1
"1740",2009,"OCT","2009/10/1","Bucaramanga",21.7
"1741",2010,"OCT","2010/10/1","Bucaramanga",21
"1742",2011,"OCT","2011/10/1","Bucaramanga",20.5
"1743",2012,"OCT","2012/10/1","Bucaramanga",21.3
"1744",2013,"OCT","2013/10/1","Bucaramanga",21.4
"1745",2014,"OCT","2014/10/1","Bucaramanga",21.3
"1746",2015,"OCT","2015/10/1","Bucaramanga",NA
"1747",1977,"NOV","1977/11/1","Bucaramanga",20.8
"1748",1978,"NOV","1978/11/1","Bucaramanga",21.1
"1749",1979,"NOV","1979/11/1","Bucaramanga",20.6
"1750",1980,"NOV","1980/11/1","Bucaramanga",20.8
"1751",1981,"NOV","1981/11/1","Bucaramanga",20.9
"1752",1982,"NOV","1982/11/1","Bucaramanga",21.1
"1753",1983,"NOV","1983/11/1","Bucaramanga",21.4
"1754",1984,"NOV","1984/11/1","Bucaramanga",20.1
"1755",1985,"NOV","1985/11/1","Bucaramanga",20.5
"1756",1986,"NOV","1986/11/1","Bucaramanga",20.7
"1757",1987,"NOV","1987/11/1","Bucaramanga",21.5
"1758",1988,"NOV","1988/11/1","Bucaramanga",20.5
"1759",1989,"NOV","1989/11/1","Bucaramanga",21.2
"1760",1990,"NOV","1990/11/1","Bucaramanga",21.2
"1761",1991,"NOV","1991/11/1","Bucaramanga",20.8
"1762",1992,"NOV","1992/11/1","Bucaramanga",21.2
"1763",1993,"NOV","1993/11/1","Bucaramanga",NA
"1764",1994,"NOV","1994/11/1","Bucaramanga",21.1
"1765",1995,"NOV","1995/11/1","Bucaramanga",20.6
"1766",1996,"NOV","1996/11/1","Bucaramanga",21
"1767",1997,"NOV","1997/11/1","Bucaramanga",21.7
"1768",1998,"NOV","1998/11/1","Bucaramanga",20.9
"1769",1999,"NOV","1999/11/1","Bucaramanga",20.5
"1770",2000,"NOV","2000/11/1","Bucaramanga",20.7
"1771",2001,"NOV","2001/11/1","Bucaramanga",NA
"1772",2002,"NOV","2002/11/1","Bucaramanga",21.7
"1773",2003,"NOV","2003/11/1","Bucaramanga",21.6
"1774",2004,"NOV","2004/11/1","Bucaramanga",21.1
"1775",2005,"NOV","2005/11/1","Bucaramanga",20.8
"1776",2006,"NOV","2006/11/1","Bucaramanga",21.3
"1777",2007,"NOV","2007/11/1","Bucaramanga",21.3
"1778",2008,"NOV","2008/11/1","Bucaramanga",20.6
"1779",2009,"NOV","2009/11/1","Bucaramanga",NA
"1780",2010,"NOV","2010/11/1","Bucaramanga",20.2
"1781",2011,"NOV","2011/11/1","Bucaramanga",20.6
"1782",2012,"NOV","2012/11/1","Bucaramanga",21.6
"1783",2013,"NOV","2013/11/1","Bucaramanga",21
"1784",2014,"NOV","2014/11/1","Bucaramanga",21.2
"1785",2015,"NOV","2015/11/1","Bucaramanga",NA
"1786",1977,"DEC","1977/12/1","Bucaramanga",21.4
"1787",1978,"DEC","1978/12/1","Bucaramanga",20.7
"1788",1979,"DEC","1979/12/1","Bucaramanga",20.8
"1789",1980,"DEC","1980/12/1","Bucaramanga",20.7
"1790",1981,"DEC","1981/12/1","Bucaramanga",21.3
"1791",1982,"DEC","1982/12/1","Bucaramanga",21.4
"1792",1983,"DEC","1983/12/1","Bucaramanga",20.8
"1793",1984,"DEC","1984/12/1","Bucaramanga",21
"1794",1985,"DEC","1985/12/1","Bucaramanga",20.8
"1795",1986,"DEC","1986/12/1","Bucaramanga",20.7
"1796",1987,"DEC","1987/12/1","Bucaramanga",21
"1797",1988,"DEC","1988/12/1","Bucaramanga",19.5
"1798",1989,"DEC","1989/12/1","Bucaramanga",20.7
"1799",1990,"DEC","1990/12/1","Bucaramanga",21
"1800",1991,"DEC","1991/12/1","Bucaramanga",21.8
"1801",1992,"DEC","1992/12/1","Bucaramanga",22
"1802",1993,"DEC","1993/12/1","Bucaramanga",21.4
"1803",1994,"DEC","1994/12/1","Bucaramanga",22.2
"1804",1995,"DEC","1995/12/1","Bucaramanga",21.8
"1805",1996,"DEC","1996/12/1","Bucaramanga",21.5
"1806",1997,"DEC","1997/12/1","Bucaramanga",22.5
"1807",1998,"DEC","1998/12/1","Bucaramanga",20.1
"1808",1999,"DEC","1999/12/1","Bucaramanga",20.3
"1809",2000,"DEC","2000/12/1","Bucaramanga",21.1
"1810",2001,"DEC","2001/12/1","Bucaramanga",NA
"1811",2002,"DEC","2002/12/1","Bucaramanga",22.1
"1812",2003,"DEC","2003/12/1","Bucaramanga",21.3
"1813",2004,"DEC","2004/12/1","Bucaramanga",21.3
"1814",2005,"DEC","2005/12/1","Bucaramanga",20.9
"1815",2006,"DEC","2006/12/1","Bucaramanga",21.4
"1816",2007,"DEC","2007/12/1","Bucaramanga",20.8
"1817",2008,"DEC","2008/12/1","Bucaramanga",20.7
"1818",2009,"DEC","2009/12/1","Bucaramanga",22
"1819",2010,"DEC","2010/12/1","Bucaramanga",20.2
"1820",2011,"DEC","2011/12/1","Bucaramanga",20.7
"1821",2012,"DEC","2012/12/1","Bucaramanga",21.3
"1822",2013,"DEC","2013/12/1","Bucaramanga",21.2
"1823",2014,"DEC","2014/12/1","Bucaramanga",21.5
"1824",2015,"DEC","2015/12/1","Bucaramanga",NA
"1825",1966,"JAN","1966/1/1","Barranquilla",NA
"1826",1967,"JAN","1967/1/1","Barranquilla",26.2
"1827",1968,"JAN","1968/1/1","Barranquilla",25.7
"1828",1969,"JAN","1969/1/1","Barranquilla",26.5
"1829",1970,"JAN","1970/1/1","Barranquilla",27.1
"1830",1971,"JAN","1971/1/1","Barranquilla",26.3
"1831",1972,"JAN","1972/1/1","Barranquilla",NA
"1832",1973,"JAN","1973/1/1","Barranquilla",NA
"1833",1974,"JAN","1974/1/1","Barranquilla",NA
"1834",1975,"JAN","1975/1/1","Barranquilla",NA
"1835",1976,"JAN","1976/1/1","Barranquilla",25.9
"1836",1977,"JAN","1977/1/1","Barranquilla",26.7
"1837",1978,"JAN","1978/1/1","Barranquilla",26.7
"1838",1979,"JAN","1979/1/1","Barranquilla",26.6
"1839",1980,"JAN","1980/1/1","Barranquilla",27.5
"1840",1981,"JAN","1981/1/1","Barranquilla",27.5
"1841",1982,"JAN","1982/1/1","Barranquilla",26.8
"1842",1983,"JAN","1983/1/1","Barranquilla",27.2
"1843",1984,"JAN","1984/1/1","Barranquilla",26.9
"1844",1985,"JAN","1985/1/1","Barranquilla",25.8
"1845",1986,"JAN","1986/1/1","Barranquilla",26.4
"1846",1987,"JAN","1987/1/1","Barranquilla",26.9
"1847",1988,"JAN","1988/1/1","Barranquilla",26.5
"1848",1989,"JAN","1989/1/1","Barranquilla",26.2
"1849",1990,"JAN","1990/1/1","Barranquilla",26.7
"1850",1991,"JAN","1991/1/1","Barranquilla",26.5
"1851",1992,"JAN","1992/1/1","Barranquilla",26.8
"1852",1993,"JAN","1993/1/1","Barranquilla",27.6
"1853",1994,"JAN","1994/1/1","Barranquilla",26.8
"1854",1995,"JAN","1995/1/1","Barranquilla",27.5
"1855",1996,"JAN","1996/1/1","Barranquilla",27.4
"1856",1997,"JAN","1997/1/1","Barranquilla",27
"1857",1998,"JAN","1998/1/1","Barranquilla",27.7
"1858",1999,"JAN","1999/1/1","Barranquilla",26.9
"1859",2000,"JAN","2000/1/1","Barranquilla",26.4
"1860",2001,"JAN","2001/1/1","Barranquilla",26.7
"1861",2002,"JAN","2002/1/1","Barranquilla",28.4
"1862",2003,"JAN","2003/1/1","Barranquilla",28.5
"1863",2004,"JAN","2004/1/1","Barranquilla",27.2
"1864",2005,"JAN","2005/1/1","Barranquilla",NA
"1865",2006,"JAN","2006/1/1","Barranquilla",27.6
"1866",2007,"JAN","2007/1/1","Barranquilla",26.4
"1867",2008,"JAN","2008/1/1","Barranquilla",26.9
"1868",2009,"JAN","2009/1/1","Barranquilla",27.2
"1869",2010,"JAN","2010/1/1","Barranquilla",27.7
"1870",2011,"JAN","2011/1/1","Barranquilla",27.2
"1871",2012,"JAN","2012/1/1","Barranquilla",26.7
"1872",2013,"JAN","2013/1/1","Barranquilla",26.9
"1873",2014,"JAN","2014/1/1","Barranquilla",27.2
"1874",2015,"JAN","2015/1/1","Barranquilla",27
"1875",1966,"FEB","1966/2/1","Barranquilla",NA
"1876",1967,"FEB","1967/2/1","Barranquilla",26.3
"1877",1968,"FEB","1968/2/1","Barranquilla",26.5
"1878",1969,"FEB","1969/2/1","Barranquilla",26.4
"1879",1970,"FEB","1970/2/1","Barranquilla",26.9
"1880",1971,"FEB","1971/2/1","Barranquilla",26.2
"1881",1972,"FEB","1972/2/1","Barranquilla",NA
"1882",1973,"FEB","1973/2/1","Barranquilla",NA
"1883",1974,"FEB","1974/2/1","Barranquilla",NA
"1884",1975,"FEB","1975/2/1","Barranquilla",NA
"1885",1976,"FEB","1976/2/1","Barranquilla",26.1
"1886",1977,"FEB","1977/2/1","Barranquilla",26.7
"1887",1978,"FEB","1978/2/1","Barranquilla",27.3
"1888",1979,"FEB","1979/2/1","Barranquilla",27.4
"1889",1980,"FEB","1980/2/1","Barranquilla",27.1
"1890",1981,"FEB","1981/2/1","Barranquilla",27.4
"1891",1982,"FEB","1982/2/1","Barranquilla",27
"1892",1983,"FEB","1983/2/1","Barranquilla",27.1
"1893",1984,"FEB","1984/2/1","Barranquilla",27.2
"1894",1985,"FEB","1985/2/1","Barranquilla",26.6
"1895",1986,"FEB","1986/2/1","Barranquilla",26.5
"1896",1987,"FEB","1987/2/1","Barranquilla",27.6
"1897",1988,"FEB","1988/2/1","Barranquilla",27.1
"1898",1989,"FEB","1989/2/1","Barranquilla",26
"1899",1990,"FEB","1990/2/1","Barranquilla",26.4
"1900",1991,"FEB","1991/2/1","Barranquilla",26.8
"1901",1992,"FEB","1992/2/1","Barranquilla",27.3
"1902",1993,"FEB","1993/2/1","Barranquilla",27.4
"1903",1994,"FEB","1994/2/1","Barranquilla",26.7
"1904",1995,"FEB","1995/2/1","Barranquilla",27.3
"1905",1996,"FEB","1996/2/1","Barranquilla",27.4
"1906",1997,"FEB","1997/2/1","Barranquilla",27.3
"1907",1998,"FEB","1998/2/1","Barranquilla",28.3
"1908",1999,"FEB","1999/2/1","Barranquilla",26.3
"1909",2000,"FEB","2000/2/1","Barranquilla",26.6
"1910",2001,"FEB","2001/2/1","Barranquilla",25.8
"1911",2002,"FEB","2002/2/1","Barranquilla",28
"1912",2003,"FEB","2003/2/1","Barranquilla",28.5
"1913",2004,"FEB","2004/2/1","Barranquilla",27.6
"1914",2005,"FEB","2005/2/1","Barranquilla",27.5
"1915",2006,"FEB","2006/2/1","Barranquilla",27.4
"1916",2007,"FEB","2007/2/1","Barranquilla",27.7
"1917",2008,"FEB","2008/2/1","Barranquilla",27
"1918",2009,"FEB","2009/2/1","Barranquilla",26.9
"1919",2010,"FEB","2010/2/1","Barranquilla",28.1
"1920",2011,"FEB","2011/2/1","Barranquilla",26.3
"1921",2012,"FEB","2012/2/1","Barranquilla",26.3
"1922",2013,"FEB","2013/2/1","Barranquilla",27.4
"1923",2014,"FEB","2014/2/1","Barranquilla",26.9
"1924",2015,"FEB","2015/2/1","Barranquilla",27.6
"1925",1966,"MAR","1966/3/1","Barranquilla",NA
"1926",1967,"MAR","1967/3/1","Barranquilla",26.1
"1927",1968,"MAR","1968/3/1","Barranquilla",26.5
"1928",1969,"MAR","1969/3/1","Barranquilla",27.7
"1929",1970,"MAR","1970/3/1","Barranquilla",27.1
"1930",1971,"MAR","1971/3/1","Barranquilla",26.4
"1931",1972,"MAR","1972/3/1","Barranquilla",NA
"1932",1973,"MAR","1973/3/1","Barranquilla",NA
"1933",1974,"MAR","1974/3/1","Barranquilla",NA
"1934",1975,"MAR","1975/3/1","Barranquilla",NA
"1935",1976,"MAR","1976/3/1","Barranquilla",26.1
"1936",1977,"MAR","1977/3/1","Barranquilla",26.6
"1937",1978,"MAR","1978/3/1","Barranquilla",27.5
"1938",1979,"MAR","1979/3/1","Barranquilla",27.7
"1939",1980,"MAR","1980/3/1","Barranquilla",26.7
"1940",1981,"MAR","1981/3/1","Barranquilla",28
"1941",1982,"MAR","1982/3/1","Barranquilla",26.7
"1942",1983,"MAR","1983/3/1","Barranquilla",28.3
"1943",1984,"MAR","1984/3/1","Barranquilla",27.2
"1944",1985,"MAR","1985/3/1","Barranquilla",26.7
"1945",1986,"MAR","1986/3/1","Barranquilla",27.4
"1946",1987,"MAR","1987/3/1","Barranquilla",28.3
"1947",1988,"MAR","1988/3/1","Barranquilla",27.4
"1948",1989,"MAR","1989/3/1","Barranquilla",27.1
"1949",1990,"MAR","1990/3/1","Barranquilla",26.8
"1950",1991,"MAR","1991/3/1","Barranquilla",27.6
"1951",1992,"MAR","1992/3/1","Barranquilla",27.3
"1952",1993,"MAR","1993/3/1","Barranquilla",27.7
"1953",1994,"MAR","1994/3/1","Barranquilla",27.6
"1954",1995,"MAR","1995/3/1","Barranquilla",27.9
"1955",1996,"MAR","1996/3/1","Barranquilla",27.7
"1956",1997,"MAR","1997/3/1","Barranquilla",26.5
"1957",1998,"MAR","1998/3/1","Barranquilla",28
"1958",1999,"MAR","1999/3/1","Barranquilla",27.4
"1959",2000,"MAR","2000/3/1","Barranquilla",26.9
"1960",2001,"MAR","2001/3/1","Barranquilla",26.8
"1961",2002,"MAR","2002/3/1","Barranquilla",28.8
"1962",2003,"MAR","2003/3/1","Barranquilla",27.8
"1963",2004,"MAR","2004/3/1","Barranquilla",27.5
"1964",2005,"MAR","2005/3/1","Barranquilla",28.6
"1965",2006,"MAR","2006/3/1","Barranquilla",27.6
"1966",2007,"MAR","2007/3/1","Barranquilla",28
"1967",2008,"MAR","2008/3/1","Barranquilla",NA
"1968",2009,"MAR","2009/3/1","Barranquilla",26.7
"1969",2010,"MAR","2010/3/1","Barranquilla",29.3
"1970",2011,"MAR","2011/3/1","Barranquilla",27
"1971",2012,"MAR","2012/3/1","Barranquilla",NA
"1972",2013,"MAR","2013/3/1","Barranquilla",28.1
"1973",2014,"MAR","2014/3/1","Barranquilla",27.4
"1974",2015,"MAR","2015/3/1","Barranquilla",NA
"1975",1966,"APR","1966/4/1","Barranquilla",NA
"1976",1967,"APR","1967/4/1","Barranquilla",26.9
"1977",1968,"APR","1968/4/1","Barranquilla",27
"1978",1969,"APR","1969/4/1","Barranquilla",27.9
"1979",1970,"APR","1970/4/1","Barranquilla",27.5
"1980",1971,"APR","1971/4/1","Barranquilla",27.2
"1981",1972,"APR","1972/4/1","Barranquilla",NA
"1982",1973,"APR","1973/4/1","Barranquilla",NA
"1983",1974,"APR","1974/4/1","Barranquilla",NA
"1984",1975,"APR","1975/4/1","Barranquilla",NA
"1985",1976,"APR","1976/4/1","Barranquilla",27.2
"1986",1977,"APR","1977/4/1","Barranquilla",27.3
"1987",1978,"APR","1978/4/1","Barranquilla",28.1
"1988",1979,"APR","1979/4/1","Barranquilla",27.6
"1989",1980,"APR","1980/4/1","Barranquilla",28
"1990",1981,"APR","1981/4/1","Barranquilla",27.5
"1991",1982,"APR","1982/4/1","Barranquilla",27.4
"1992",1983,"APR","1983/4/1","Barranquilla",28.2
"1993",1984,"APR","1984/4/1","Barranquilla",27.6
"1994",1985,"APR","1985/4/1","Barranquilla",27.2
"1995",1986,"APR","1986/4/1","Barranquilla",27.9
"1996",1987,"APR","1987/4/1","Barranquilla",28.9
"1997",1988,"APR","1988/4/1","Barranquilla",28.3
"1998",1989,"APR","1989/4/1","Barranquilla",27.2
"1999",1990,"APR","1990/4/1","Barranquilla",27.9
"2000",1991,"APR","1991/4/1","Barranquilla",28
"2001",1992,"APR","1992/4/1","Barranquilla",28.2
"2002",1993,"APR","1993/4/1","Barranquilla",28.7
"2003",1994,"APR","1994/4/1","Barranquilla",27.9
"2004",1995,"APR","1995/4/1","Barranquilla",28.3
"2005",1996,"APR","1996/4/1","Barranquilla",28
